Category,Share,Percent
Unskilled Workers,0.3565,35.65%
Administrative Staff,0.1847,18.47%
Personal Services & Security Workers,0.1198,11.98%
Technicians and Professions,0.0793,7.93%
Scientific Specialists,0.0719,7.19%
Skilled Industry Workers,0.0615,6.15%
Student,0.0325,3.25%
Legislative Power & Executives,0.0231,2.31%
Farmers and Skilled Agricultural Workers,0.0206,2.06%
Other Situation,0.0158,1.58%
Machine Operators and Assemblers,0.0081,0.81%
Cleaning Workers,0.0059,0.59%
(Blank),0.0038,0.38%
Meal Preparation Assistants,0.0025,0.25%
Office & Data Processing Workers,0.0018,0.18%
Teachers,0.0016,0.16%
Other Admin Support Staff,0.0014,0.14%
"Woodworking, Textile, Crafts Workers",0.0011,0.11%
Unskilled Agricultural Workers,0.0011,0.11%
Armed Forces,0.0009,0.09%
"Technicians - Social, Sports, Cultural",0.0009,0.09%
Unskilled Industry/Construction Workers,0.0009,0.09%
Personal Service Workers,0.0007,0.07%
Health Technicians (Intermediate),0.0007,0.07%
Accounting & Registry Operators,0.0007,0.07%
Personal Care Workers,0.0005,0.05%
Sellers,0.0005,0.05%
Health Professionals,0.0005,0.05%
ICT Specialists,0.0002,0.02%
Printing & Precision Craft Workers,0.0002,0.02%
Engineering Technicians (Intermediate),0.0002,0.02%
Skilled Construction Workers,0.0002,0.02%
