Category,Share,Percent
Secondary Education - 12th Year or Eq.,0.2416,24.16%
Basic Ed 1st Cycle (4th/5th),0.2281,22.81%
Basic Ed 3rd Cycle,0.2154,21.54%
Basic Ed 2nd Cycle (6th–8th),0.127,12.7%
Higher Ed - Degree,0.099,9.9%
Unknown,0.0294,2.94%
Higher Ed - Bachelor's,0.0188,1.88%
Higher Ed - Master's,0.0111,1.11%
Other - 11th Year,0.0095,0.95%
Higher Ed - Doctorate,0.0047,0.47%
Higher Ed - Degree (1st Cycle),0.002,0.2%
12th Year - Not Completed,0.0018,0.18%
Tech Specialization,0.0018,0.18%
Specialized Higher Studies,0.0014,0.14%
Professional Higher Tech Course,0.0009,0.09%
Frequency of Higher Ed,0.0009,0.09%
Higher Ed - Master's (2nd Cycle),0.0009,0.09%
8th Year,0.0007,0.07%
Can't Read or Write,0.0007,0.07%
Can Read (no 4th year),0.0007,0.07%
7th Year (Old),0.0007,0.07%
9th Year - Not Completed,0.0007,0.07%
11th Year - Not Completed,0.0007,0.07%
10th Year,0.0005,0.05%
General Commerce,0.0002,0.02%
Technical-Professional,0.0002,0.02%
2nd Cycle of General High School,0.0002,0.02%
7th Year,0.0002,0.02%
Higher Ed - Doctorate (3rd Cycle),0.0002,0.02%
