Category,Share,Percent
Nursing,0.1731,17.31%
Management,0.0859,8.59%
Social Service,0.0802,8.02%
Veterinary Nursing,0.0762,7.62%
Journalism and Communication,0.0748,7.48%
Advertising and Marketing Management,0.0606,6.06%
Management (evening attendance),0.0606,6.06%
Tourism,0.057,5.7%
Communication Design,0.0511,5.11%
Animation and Multimedia Design,0.0486,4.86%
Social Service (evening attendance),0.0486,4.86%
Agronomy,0.0475,4.75%
Basic Education,0.0434,4.34%
Informatics Engineering,0.0384,3.84%
Equinculture,0.0319,3.19%
Oral Hygiene,0.0194,1.94%
Biofuel Production Technologies,0.0027,0.27%
